floor,area,block,row,seat,grade
1,13,101,1,1,C
1,13,101,1,5,C
1,6,101,5,10,S
1,6,101,5,11,S
1,6,101,6,8,S
1,6,101,6,9,S
1,6,101,6,10,S
1,6,101,6,11,S
1,6,101,7,6,S
1,6,101,7,7,S
1,6,101,7,8,S
1,6,101,7,9,S
1,6,101,7,10,S
1,6,101,7,11,S
1,6,101,8,5,S
1,6,101,8,6,S
1,6,101,8,7,S
1,6,101,8,8,S
1,6,101,8,9,S
1,6,101,8,10,S
1,6,101,8,11,S
1,6,101,9,5,S
1,6,101,9,6,S
1,6,101,9,7,S
1,6,101,9,8,S
1,6,101,9,9,S
1,6,101,9,10,S
1,6,101,9,11,S
1,6,101,10,5,S
1,6,101,10,6,S
1,6,101,10,7,S
1,6,101,10,8,S
1,6,101,10,9,S
1,6,101,10,10,S
1,6,101,10,11,S
1,6,101,11,5,S
1,6,101,11,6,S
1,6,101,11,7,S
1,6,101,11,8,S
1,6,101,11,9,S
1,6,101,11,10,S
1,6,101,11,11,S
1,6,101,12,5,S
1,6,101,12,6,S
1,6,101,12,7,S
1,6,101,12,8,S
1,6,101,12,9,S
1,6,101,12,10,S
1,6,101,12,11,S
1,6,101,13,5,S
1,6,101,13,6,S
1,6,101,13,7,S
1,6,101,13,8,S
1,6,101,13,9,S
1,6,101,13,10,S
1,6,101,13,11,S
1,6,101,14,5,S
1,6,101,14,6,S
1,6,101,14,7,S
1,6,101,14,8,S
1,6,101,14,9,S
1,6,101,14,10,S
1,6,101,14,11,S
1,6,101,15,5,S
1,6,101,15,6,S
1,6,101,15,7,S
1,6,101,15,8,S
1,6,101,15,9,S
1,6,101,15,10,S
1,6,101,15,11,S
1,6,101,16,5,S
1,6,101,16,6,S
1,6,101,16,7,S
1,6,101,16,8,S
1,6,101,16,9,S
1,6,101,16,10,S
1,6,101,16,11,S
1,6,101,17,2,S
1,6,101,17,3,S
1,6,101,17,4,S
1,6,101,17,5,S
1,6,101,17,6,S
1,6,101,17,7,S
1,6,101,17,8,S
1,6,101,17,9,S
1,6,101,17,10,S
1,6,101,17,11,S
1,6,101,18,2,S
1,6,101,18,3,S
